id,gpu_name,url,graphics_processor-gpu_name,graphics_processor-gpu_variant,graphics_processor-architecture,graphics_processor-foundry,graphics_processor-process_size,graphics_processor-transistors,graphics_processor-die_size,graphics_card-release_date,graphics_card-availability,graphics_card-generation,graphics_card-predecessor,graphics_card-successor,graphics_card-production,graphics_card-launch_price,graphics_card-current_price,graphics_card-bus_interface,graphics_card-reviews,clock_speeds-base_clock,clock_speeds-boost_clock,clock_speeds-soc_clock,clock_speeds-uvd_clock,clock_speeds-memory_clock,memory-memory_size,memory-memory_type,memory-memory_bus,memory-bandwidth,render_config-shading_units,render_config-tmus,render_config-rops,render_config-compute_units,render_config-rt_cores,render_config-l0_cache,render_config-l1_cache,render_config-l2_cache,render_config-l3_cache,theoretical_performance-pixel_rate,theoretical_performance-texture_rate,theoretical_performance-fp16_(half)_performance,theoretical_performance-fp32_(float)_performance,theoretical_performance-fp64_(double)_performance,board_design-slot_width,board_design-length,board_design-width,board_design-height,board_design-tdp,board_design-suggested_psu,board_design-outputs,board_design-power_connectors,board_design-part_number,board_design-board_number,graphics_features-directx,graphics_features-opengl,graphics_features-opencl,graphics_features-vulkan,graphics_features-pixel_shader,graphics_features-vertex_shader,stock
11,Intel Extreme Graphics 2,https://www.techpowerup.com/gpu-specs/extreme-graphics-2.c1221,Springdale,Springdale-G (865G),Generation 2.0,Intel,130 nm,unknown,unknown,"Dec 3rd, 2003",,"Extreme Graphics 2
(IGP)",,,End-of-life,,,FSB,2 in our database,200 MHz,266 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,2,1,,,,,,,266.0 MPixel/s,532.0 MTexel/s,,,,IGP,,,,unknown,,No outputs,,,,7.0,1.3,,,1.4,1.1,7
12,Intel i852GM Graphics,https://www.techpowerup.com/gpu-specs/i852gm-graphics.c1301,Montara,Montara-GM (852GM),Generation 2.0,Intel,130 nm,unknown,unknown,"Dec 3rd, 2003",,"Graphics-M
(IGP)",,,End-of-life,,,FSB,2 in our database,200 MHz,266 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,1,1,,,,,,,266.0 MPixel/s,266.0 MTexel/s,,,,IGP,,,,unknown,,No outputs,,,,7.0,1.3,,,,,9
13,Intel GMA 900,https://www.techpowerup.com/gpu-specs/gma-900.c3126,Grantsdale,,Generation 3.0,Intel,130 nm,unknown,unknown,"Jun 1st, 2004",,"GMA Graphics-M
(GMA 900 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,1.332 GPixel/s,1.332 GTexel/s,,,,IGP,,,,unknown,,No outputs,,,,9.0c,1.4,,,,,1
14,Intel GMA 900,https://www.techpowerup.com/gpu-specs/gma-900.c1226,Alviso,Alviso-GM,Generation 3.0,Intel,130 nm,unknown,unknown,2005,,"GMA Graphics-M
(GMA 900 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,1.332 GPixel/s,1.332 GTexel/s,,,,IGP,,,,unknown,,No outputs,,,,9.0c,1.4,,,,,5
15,Intel GMA 950,https://www.techpowerup.com/gpu-specs/gma-950.c3127,Lakeport,,Generation 3.5,Intel,90 nm,unknown,unknown,"Jun 1st, 2005",,"GMA Graphics
(GMA 950 IGP)",,,End-of-life,,,FSB,2 in our database,250 MHz,400 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,1,,,,,,,400.0 MPixel/s,1.600 GTexel/s,,,,IGP,,,,7 W,,No outputs,,,,9.0,2.0,,,,,4
16,Intel GMA 950,https://www.techpowerup.com/gpu-specs/gma-950.c3121,Lakeport,,Generation 3.5,Intel,90 nm,unknown,unknown,"May 1st, 2005",,"GMA Graphics-M
(GMA 950 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,1,,,,,,,166.0 MPixel/s,664.0 MTexel/s,,,,IGP,,,,7 W,,No outputs,,,,9.0,2.0,,,,,9
17,Intel GMA 3000,https://www.techpowerup.com/gpu-specs/gma-3000.c3120,Lakeport,Lakeport-GZ,Generation 3.5,Intel,90 nm,unknown,unknown,"Jul 1st, 2006",,"GMA Graphics-M
(GMA 3000 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,1.600 GPixel/s,1.600 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0,2.0,,,,,9
18,Intel GMA 3000,https://www.techpowerup.com/gpu-specs/gma-3000.c3119,Broadwater,Broadwater-Q,Generation 4.0,Intel,90 nm,unknown,unknown,"Jun 1st, 2006",,"GMA Graphics-M
(GMA 3000 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,1.600 GPixel/s,1.600 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,5
19,Intel GMA 3000,https://www.techpowerup.com/gpu-specs/gma-3000.c3377,Broadwater,Broadwater-G (946GZ),Generation 4.0,Intel,90 nm,unknown,unknown,"Jun 1st, 2006",,"GMA Graphics
(GMA 3000 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,2.668 GPixel/s,2.668 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,7
20,Intel GMA 3000,https://www.techpowerup.com/gpu-specs/gma-3000.c3154,Broadwater,Broadwater-G (Q965),Generation 4.0,Intel,90 nm,unknown,unknown,"Jun 1st, 2006",,"GMA Graphics
(GMA 3000 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,2.668 GPixel/s,2.668 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,6
21,Intel GMA 950,https://www.techpowerup.com/gpu-specs/gma-950.c3122,Calistoga,,Generation 3.5,Intel,90 nm,unknown,unknown,2006,,"GMA Graphics-M
(GMA 950 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,1,,,,,,,250.0 MPixel/s,1.000 GTexel/s,,,,IGP,,,,7 W,,No outputs,,,,9.0c,2.0,,,,,9
22,Intel GMA X3000,https://www.techpowerup.com/gpu-specs/gma-x3000.c3376,Broadwater,Broadwater-G (Q965),Generation 4.0,Intel,90 nm,unknown,unknown,"Jun 1st, 2006",,"GMA Graphics
(GMA 3000 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,2.668 GPixel/s,2.668 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,2
23,Intel GMA X3000,https://www.techpowerup.com/gpu-specs/gma-x3000.c3123,Broadwater,Broadwater-GC,Generation 4.0,Intel,90 nm,unknown,unknown,"Jun 1st, 2006",,"GMA Graphics-M
(GMA 3000 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,8,1,,,,,,,500.0 MPixel/s,4.000 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,7
24,Intel GMA 3100,https://www.techpowerup.com/gpu-specs/gma-3100.c1793,Bearlake,Bearlake-G+ (G33),Generation 4.0,Intel,90 nm,unknown,unknown,"May 9th, 2007",,"GMA Graphics
(GMA 3100 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,1.600 GPixel/s,1.600 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,4
25,Intel GMA 3100,https://www.techpowerup.com/gpu-specs/gma-3100.c3117,Bearlake,,Generation 4.0,Intel,90 nm,unknown,unknown,"May 9th, 2007",,"GMA Graphics-M
(GMA 3100 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,1.600 GPixel/s,1.600 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,0
26,Intel GMA 3100,https://www.techpowerup.com/gpu-specs/gma-3100.c1733,Bearlake,Bearlake-G (G31),Generation 4.0,Intel,90 nm,unknown,unknown,"May 9th, 2007",,"GMA Graphics
(GMA 3100 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,8,1,,,,,,,400.0 MPixel/s,3.200 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,0
27,Intel GMA 3150,https://www.techpowerup.com/gpu-specs/gma-3150.c1794,Pineview,,Generation 4.0,Intel,45 nm,123 million,66 mm²,"May 9th, 2007",,"GMA Graphics-M
(GMA 3100 IGP)",,,End-of-life,,,PCI,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,16.0,2,1,,,,,,,400.0 MPixel/s,800.0 MTexel/s,,12.80 GFLOPS,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,3
28,Intel GMA 3150,https://www.techpowerup.com/gpu-specs/gma-3150.c3375,Pineview,,Generation 4.0,Intel,45 nm,123 million,66 mm²,"May 9th, 2007",,"GMA Graphics
(GMA 3100 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,16.0,2,1,,,,,,,400.0 MPixel/s,800.0 MTexel/s,,12.80 GFLOPS,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,1
29,Intel GMA X3100,https://www.techpowerup.com/gpu-specs/gma-x3100.c3124,Crestline,Crestline-GM,Generation 4.0,Intel,90 nm,unknown,unknown,"May 9th, 2007",,"GMA Graphics-M
(GMA 3100 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,8,1,,,,,,,500.0 MPixel/s,4.000 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,4
30,Intel GMA X3100,https://www.techpowerup.com/gpu-specs/gma-x3100.c1233,Broadwater,,Generation 4.0,Intel,90 nm,unknown,unknown,"May 9th, 2007",,"GMA Graphics-M
(GMA 3100 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,8,1,,,,,,,500.0 MPixel/s,4.000 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,2
31,Intel GMA X3500,https://www.techpowerup.com/gpu-specs/gma-x3500.c3118,Bearlake,Bearlake (G35),Generation 4.0,Intel,90 nm,unknown,unknown,"Aug 1st, 2007",,"GMA Graphics
(GMA 3500 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,8,1,,,,,,,667.0 MPixel/s,5.336 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,,,,,3
32,Intel GMA 3600,https://www.techpowerup.com/gpu-specs/gma-3600.c1797,Cedarview,,PowerVR SGX545,Intel,65 nm,unknown,unknown,"Oct 1st, 2008",,"GMA Graphics-M
(GMA 3600 IGP)",,,End-of-life,,,PCI,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,32.0,4,1,,,,,,,400.0 MPixel/s,1.600 GTexel/s,,25.60 GFLOPS,,IGP,,,,13 W,,No outputs,,,,10.1,ES 2.0,,,,,10
33,Intel GMA 3650,https://www.techpowerup.com/gpu-specs/gma-3650.c3143,Cedarview,,PowerVR SGX545,Intel,65 nm,unknown,unknown,"Oct 1st, 2008",,"GMA Graphics-M
(GMA 3600 IGP)",,,End-of-life,,,PCI,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,32.0,4,1,,,,,,,640.0 MPixel/s,2.560 GTexel/s,,40.96 GFLOPS,,IGP,,,,13 W,,No outputs,,,,10.1,ES 2.0,,,,,1
34,Intel GMA 500,https://www.techpowerup.com/gpu-specs/gma-500.c1222,Poulsbo,,PowerVR SGX535,Intel,130 nm,unknown,unknown,"Mar 2nd, 2008",,"GMA Graphics-T
(GMA 500 IGP)",,,End-of-life,,,PCIe 1.0 x16,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,32.0,4,1,,,,,,,200.0 MPixel/s,800.0 MTexel/s,,12.80 GFLOPS,,IGP,,,,unknown,,No outputs,,,,10.1,ES 2.0,,,,,0
